id,created_at,location,node,anchor,crc_identification
468,2022-05-20 07:49:00.261821+00,"{""x"":242,""y"":90,""z"":0}",1,,
467,2022-05-20 07:48:37.8773+00,"{""x"":265,""y"":105,""z"":0}",1,,
466,2022-05-20 07:48:15.645756+00,"{""x"":227,""y"":90,""z"":0}",1,,
465,2022-05-20 07:47:53.337665+00,"{""x"":217,""y"":105,""z"":0}",1,,
464,2022-05-20 07:47:31.704359+00,"{""x"":192,""y"":91,""z"":0}",1,,
462,2022-05-20 07:46:47.076175+00,"{""x"":156,""y"":85,""z"":0}",1,,
460,2022-05-20 07:46:02.021941+00,"{""x"":130,""y"":130,""z"":0}",1,,
459,2022-05-20 07:44:12.887444+00,"{""x"":130,""y"":201,""z"":0}",1,,
458,2022-05-20 07:43:26.475053+00,"{""x"":149,""y"":198,""z"":0}",1,,
457,2022-05-20 07:43:04.193969+00,"{""x"":186,""y"":169,""z"":0}",1,,
456,2022-05-20 07:42:41.942969+00,"{""x"":187,""y"":169,""z"":0}",1,,
455,2022-05-20 07:41:57.69811+00,"{""x"":213,""y"":132,""z"":0}",1,,
